Kart No,# Heats,# Laps,Average Lap Time,Best Lap Time,Total Hour
11,48,561,27.671,22.165,4.31
12,69,811,27.607,21.722,6.22
13,71,862,26.789,21.472,6.41
14,86,"1,229",25.746,21.157,8.79
15,87,"1,121",26.257,21.61,8.18
16,83,"1,066",26.847,21.211,7.95
17,89,"1,256",25.492,21.148,8.89
18,69,812,27.653,21.798,6.24
19,65,742,28.84,21.406,5.94
20,71,839,27.48,21.985,6.4
21,86,"1,154",25.766,21.386,8.26
22,85,"1,208",25.618,21.118,8.6
23,80,"1,038",26.165,21.599,7.54
24,29,340,27.893,21.963,2.63
25,86,"1,069",27.047,21.649,8.03
26,91,"1,311",25.549,20.813,9.3
27,66,790,27.206,21.806,5.97
28,72,840,27.679,21.673,6.46
70,16,200,30.013,23.869,1.67
71,16,199,30.823,24.117,1.7
72,9,79,36.426,26.666,0.8
73,19,232,30.289,22.843,1.95
74,9,92,30.225,22.462,0.77
75,8,101,32.476,24.966,0.91
76,10,104,33.194,24.696,0.96
77,16,193,32.264,24.361,1.73
78,15,199,29.751,24.362,1.64
95,25,285,28.921,22.683,2.29
96,25,273,29.704,24.194,2.25
97,23,273,27.774,23.253,2.11
98,25,284,29.03,24.224,2.29
